"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"PSME3",137.513695164457,162.6990042018,204.528593198709,129.121463411667,152.149448001898,144.003912644975,111.215979113199,269.075003875983,165.196248083762,353.784813347336,111.172842088958
"SFSWAP",603.528226066451,647.132747597884,379.023165963643,672.07152805598,700.96041313301,375.35511232816,715.531320183871,379.023165963643,297.71790648548,319.754424301582,755.542396157183
"HCFC1",394.407504754408,411.791842273977,415.381218438809,468.395987082084,338.112850918821,420.556788920679,445.075169399044,395.852457539543,345.550712027872,384.220198445963,340.081335611627
"PARK7",2656.01267137595,3594.84923978781,5301.92529473021,4377.53088648823,4140.2689047571,6401.29023632435,3652.64090490565,7215.76229105053,6853.23395065227,7520.54465876372,3882.2587756853
"VCL",560.062682907851,646.677776497179,491.437434080695,498.279334531285,1334.43572753261,611.410601773965,766.556056752509,477.193788811987,386.711991067634,509.534921351884,429.197152199146
"NDUFAB1",915.613321749832,564.456431509158,1316.42706165749,1114.5540776586,654.668651964507,1090.38010131827,524.327448294296,1449.00046333609,1431.28177769584,2574.97882146078,510.771575981323
"UQCRC2",604.728431884224,644.22741270421,804.875964757524,1126.73572585265,556.54504858498,819.847414346134,574.349575378912,943.725836136675,1401.89348449052,1679.5943400311,266.212815055884
"MRPS35",303.880083885125,297.38622157258,459.016417009572,352.619363421074,331.796388312924,492.723128292241,287.015794762853,473.624799148947,574.573580275348,580.264633046686,423.940918124611
"CYP3A4",638.18377271085,634.281677343106,435.265136084769,528.981043165027,505.857937256843,514.920222317263,632.54459149503,394.619536657576,448.471504485015,377.600484849279,545.916629556426
"TMEM43",545.85660517927,593.755742308902,578.316725449032,627.555825678648,788.415476560304,540.028122252073,599.073848582975,741.70056065177,684.5896840424,531.967685020105,938.536915154068
"IMMT",338.574295770603,381.546499097886,397.810595846121,663.152713469229,444.979570052711,474.246181442672,365.834613450115,409.49027693104,390.007994298981,569.638088916419,237.549970211284
"PGAM1",1556.50781528582,2270.44899657105,2748.64885348243,1916.58736521984,1507.96263160153,1973.06548095077,1144.05807318631,2972.04949495919,2398.87041782727,2806.54994346451,1332.87370908252
"GRSF1",150.363968290707,321.4755105183,357.961182894351,211.394202067723,325.162489692724,357.821559054459,138.141173766984,430.011510677955,655.707667729389,463.668042379548,260.703198989155
