"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"BLMH",177.232772541396,179.307192490544,149.522008769606,193.38021033389,194.768195243482,208.717409605999,185.289044242869,180.194181422949,183.85991995777,212.129266562509,242.283304362383,314.738785551973,210.150855260209,159.677931506864
"AGPS",47.7484322776087,42.5883182706802,53.2976582546832,43.2872599857414,48.6853420939448,46.3100707347762,48.6871783371259,50.5000035941651,41.1461391594191,55.3147852386181,55.4744318528443,56.4992682263803,44.7912327101884,44.1917427894362
"IFNGR1",507.988001885152,537.306411426319,377.164653165509,983.550008146824,497.410646068989,821.006150491194,690.398336546077,923.293116313456,523.232382660925,696.224434237347,595.250278766043,474.471503180943,369.987727423546,688.645312487285
"RPLP2",64.248300312494,45.8813793197481,74.287883467923,63.6801330955616,46.1706069017957,67.7600188328577,58.5500645161391,67.6320775570322,58.7263588824678,41.6290977548597,46.5106471147925,38.5868471165729,57.872283636358,76.2842945325942
"TUT1",83.0718154140496,90.6749704038481,104.178116400617,84.393775742021,75.6625471475607,78.0545332344698,81.9942223448305,79.4884341286376,73.5387986041986,61.1839578066805,66.2923514623239,69.8882968156599,75.3244360050024,85.6560888810201
"CD320",369.901712245703,297.218251692194,314.340382880623,325.427222229168,302.213327615791,247.227055666588,287.809227924798,279.884759630138,273.152941413526,206.513127897738,204.97253363862,207.023398181616,419.712117248427,332.432109053384
"HEXIM1",292.190511497489,532.409002544287,441.457338733844,289.542133233284,340.141682889315,348.722666428719,425.552326074009,268.352951250228,483.718078981498,883.503195337406,1050.73155121371,1025.54601950018,660.491326340177,503.517522463837
"PKP1",117.873687183665,95.4471283909894,132.38689910679,100.843642990921,90.2681273410901,97.1267218350321,114.098368731496,93.668947098617,81.2146866726051,84.9939898013395,90.1036355311403,95.4471283909894,99.9760466664468,118.23720521774
"NHP2",1136.49137146324,906.70601157958,924.304121722559,1029.53091067482,1091.67012892944,913.646084975805,736.480529301683,882.165585816689,920.037039159018,2040.43666192036,1682.52808975488,2422.75030384748,1483.35004482979,628.04607121517
"HDGF",1371.46831487284,1264.31386334766,1017.6293512865,1182.21134755937,1205.23283391609,1683.14163411771,1452.23111440841,1155.57028589186,1472.52776545564,832.702365698788,757.470902857577,710.125947356257,1155.65439296507,950.322779813126
"ABI3BP",49.6783442485461,42.5967214065547,44.4939157054967,46.103122782731,41.9121775176062,51.2279516823161,48.6614338346125,47.6094031458692,43.1080481810469,42.4878021683285,39.3204248119916,41.0977607854791,41.772519509241,42.9513030898011
