"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"EPHA7",25.6938843204469,30.1151260170666,27.4021131002907,24.7352570468032,26.7168846909961,26.1322342713255,24.4553509992712,28.3221341243119,27.4704352352694,26.093618287244,26.8219274649402,26.2230830494861,25.6475174203785,25.7936328485263,26.433678245173
"DARS",327.209084722594,438.09556990488,619.998312019139,292.281895694286,394.940446154295,412.904775540729,200.527634846479,527.750792552744,370.499802421907,311.411787381872,406.205383078302,262.001623172742,279.00299668184,429.05943439034,357.181332212144
"NIPSNAP1",710.765908419826,727.263232733547,756.796544958146,760.865366966213,731.899882429681,847.83305565118,682.981780638526,1044.10760837891,816.640026283413,406.50747472027,489.372021071902,542.579476982535,388.036902674608,768.80961125234,721.794785056395
"BMPR1A",64.6080809968009,63.526800505672,65.7958546126319,38.52767055866,93.9861447258609,60.4763706902439,121.458692551709,73.7576006046199,72.5126328621259,453.084865179172,228.390349864475,193.902852183817,274.969643195125,70.0086131793976,104.208136187698
"TWF2",212.63019112881,139.466300484628,128.791392073295,137.129516848178,180.119942923026,244.619049435281,160.534265075494,160.074570863868,168.368162803549,97.533653328408,112.795120634027,145.536685245333,86.7221092339501,130.426654055923,182.188022196578
"WRAP73",59.0886766037248,57.4328650033579,53.3914832567252,52.6037902002914,57.9494202757212,51.5782201193556,58.1078104287043,56.6665552020072,59.8165655390991,57.6141298068853,62.8005044600739,65.7737767449998,60.6221779442292,55.8832244350897,75.2721284141316
"EIF4G1",118.120206116059,257.187010626403,256.842962404026,259.732580455158,363.738741961048,493.87765475358,172.987040703682,218.947822062278,387.783926520042,73.4394791600242,124.207900387674,85.5234824774782,99.7117302222822,193.351452606041,84.3907555001493
"CDK1",25.5553357909985,26.0561164971123,26.9074343577821,26.1159441853913,24.5343191310873,25.0328482030174,25.8377680732897,24.9403601612729,26.228846554019,26.33488852098,26.4995929891033,26.0893323782558,26.8581727159063,25.9594204439365,27.2338036551419
"NR6A1",84.7219259791434,67.6590511801771,78.9664762301845,86.9608170413696,69.2088168323879,106.565720259835,81.6524448454193,87.3997751326844,70.1130933327936,56.8084442974299,64.0382238670339,80.9499309326082,44.8558809713736,65.9777299548861,92.2427776861261
"INHBB",258.300642287228,147.644402013183,160.255518467022,154.901022999191,213.792680491295,257.772168257107,332.507001477347,258.82144365947,151.524288680108,185.253682567032,258.634937289175,166.637085027244,136.559432898824,165.068877429722,244.761750616139
"HEXIM1",349.237706029818,252.880543306247,250.405841793474,242.796494384632,205.294758860416,201.160315731444,421.263755765159,248.99822318122,246.548059642795,262.176292292436,304.686530495546,253.173075447938,239.213361800041,270.8835523771,271.672028233884
"KLHL12",90.1022091633355,95.8750093103443,90.828290224053,93.1564941619242,93.1564941619242,105.826111899197,114.249330110163,141.105547749911,79.1345952636251,95.3821528410892,92.3851677805835,79.4414752188736,77.4750467593044,105.229050166146,99.769168084139
"TOB1",219.020031523386,732.124124029447,647.068515449247,408.528934965356,477.917809399873,123.070713821177,218.250190189089,434.96353917017,801.041276020782,2263.94109959187,1205.62762680708,1013.09515948011,1403.08123748732,549.643842208826,518.158896245572
"PRDX1",1602.46111889177,2874.21960036913,3721.28884058666,1587.67824035723,1565.83979173315,1001.77689662869,2959.32318884566,1568.70384072581,2612.38758828109,6076.17666784864,4856.91921846543,2851.01277144721,4360.73819083071,2739.04252683888,2370.17864521779
"PDLIM7",54.8383064592698,49.4504466484965,56.2364725020647,53.2162320454392,52.5501942935815,58.2020116574544,56.7184476305494,58.1961980188546,60.3734596801729,34.7176289714124,48.5496681088062,48.8129369825404,34.799174248915,48.4750619345808,56.7558282972023
"TMED9",441.690411085634,553.482644132729,565.189594248397,384.868389961765,514.707769057853,633.996029517051,469.200781855247,498.526551236696,564.865662447443,334.880013885825,445.400041525265,356.681918410952,299.137769461381,464.644279562755,471.368332247297
"CASP2",91.4318365877855,68.709055771542,101.003281131071,117.301171050286,80.177860422854,132.125583116598,87.8798055385369,72.2870951728248,74.9628797916535,86.435527343076,85.7409251543572,88.7270960189959,80.3760186662777,78.8219912060889,85.878866086131
"DCAF8",125.989454602349,94.0253543013622,90.8803802469215,90.0973389011813,140.188825080146,137.819381503456,102.413682640483,148.640249137481,112.604092424656,61.1541031128269,71.2748156697388,90.0756045365934,57.5814595156342,90.5418922886376,129.997114644551
"SLC25A10",65.8569309404183,44.610823241825,49.6462228876037,53.5080594137842,47.572538904233,58.4383444312804,50.3758449779882,57.8008199073674,49.8283035331479,39.4948436842983,47.3185912577209,48.0346704080252,42.115259822086,46.0597012722431,50.2428205145341
"SSBP3",133.878915512411,195.193001118536,187.45036721787,222.699156806895,285.638173380451,260.685609530624,183.91367375582,336.708381866766,234.709083387233,67.9842050074216,96.2148903788688,108.040474455801,72.107371910283,218.143949535803,119.700747822778
"ATP6V1A",1562.17638730854,1431.9239505282,1358.48040986519,1056.57307112078,879.347363585431,599.93605537265,1386.56823432979,1140.57012232462,1829.72182949137,3178.34802134086,1943.2483569831,1559.19287514745,4405.25272347801,1658.28083506563,1059.5987587927
"APEH",108.781074086291,126.048463779329,114.419293798327,123.491636624039,158.605828143955,131.976095572372,123.674132006103,160.504367859022,141.094598281244,48.6775775080164,88.3146053553196,65.2641387909525,49.8947567610098,125.239350507506,111.517009580584
"ITCH",175.465508794215,148.691158831319,151.905750234501,159.169741494403,139.624812739511,157.335493782384,165.077503312594,148.15893083627,144.481370378426,156.55754510233,134.854197650675,151.278307779124,136.734399394689,154.165890058448,144.351723001274
"ATG14",80.8822977448705,107.392119869358,81.413097953391,72.5994308243307,111.583680469673,64.6425775754894,78.7992642187366,101.924296572402,100.174339370731,155.5564840448,167.968098112712,141.446101033704,143.936413640557,94.0433826336005,92.3530510470809
"HTATSF1",320.171993224889,304.567253076059,266.416090801176,194.215916123948,214.197617799627,176.353442236266,304.988446508306,204.581422236752,253.994206983763,522.054889428628,506.050240643795,246.142647862455,461.149425410405,286.301386050132,282.841452744625
"RPL38",339.059627447979,1108.40412947328,1918.56396510526,313.888621996524,204.203533576179,367.86358792927,466.558012174877,224.591189136702,532.494220228545,404.636849503642,622.239356511159,625.813643777357,503.560310364392,330.91217968327,287.743467634536
"CCT5",448.695485879738,1023.34419649368,926.346518390612,659.754554836645,600.153600694275,670.376017664809,395.345152578638,645.37306296647,753.813626691835,833.861924379749,562.789927982801,422.752900839985,793.009725707894,999.208536398677,598.202687115127
"TBC1D17",169.209492468623,203.570848454599,158.939877954126,258.418615493973,303.950031642869,256.844314395519,203.871990920082,265.640194694208,304.822619848492,102.905042156758,146.525555314595,138.003181532504,114.874828726077,181.567087008154,186.518454550495
"IPO8",89.2985860305911,80.5344450180746,95.5170431446124,93.7235286720487,75.9312332874307,88.3756470948814,104.334771495704,81.5154896579876,72.3654507777296,69.3322788831497,65.4700180130837,86.00812832385,83.4693084927335,80.0922591966541,84.9687617892732
"PBX2",131.598850514105,102.828726768358,111.322944789786,115.449480334443,108.520666607853,187.733330027859,123.625404648709,114.050442312116,122.437679331056,77.523376763317,110.529339893313,94.714305695015,91.4425967205417,108.988051214237,113.027793631673
"GATA1",155.138145615266,86.7738011450681,99.4380586467118,176.474031159115,94.0546990441355,128.55119795998,101.835604102117,106.890466223428,88.6085742983406,75.9973827056152,91.6121155881865,108.607451425394,70.34893242423,120.898029064946,121.80185633908
"ID1",122.76493053689,206.074846460037,925.503422035359,231.845240217177,654.53757822992,280.621207326833,148.755557357511,455.767743213516,534.189637836829,54.7166180097376,333.985469863525,100.825245332566,58.2927310523,405.979813653784,117.077814554025
