"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"MRPL39",12.7135061723424,4.1585963204579,10.1545717995268,46.2030219150723,31.9011667557129,15.9250281936857,25.4710666328246,34.9874766120846,28.2108012024041,19.1241888860567
"CSNK2B",9.24215592355935,4.79911767005404,26.0128058839354,18.5161031752137,13.222810564718,13.8264516438644,4.47155800417522,22.8162208039552,16.3289901686439,35.0788411349759
"PDGFRB",11.696886529683,7.05798288655374,16.4062338812284,35.4623603345992,11.684976712879,37.1374421452974,24.7749383181089,14.2283572100191,12.5354994825768,12.507744524444
"PRPF4",6.73736963013258,11.2511047266398,16.1983033690362,7.32276814848411,10.9929721700244,8.25066093653446,16.9624548553363,19.6518443488875,39.9498475010692,11.4415578777511
"RANBP9",4.15859632045791,3.9775621959647,5.00000932379269,12.4471549657597,4.89290747537244,5.40933489947766,9.5696516385923,37.3238924166877,4.77217365396702,6.6949341219713
"SERBP1",20.9926203158489,3.30014561697695,14.2107777992672,17.4162713893064,9.88095583105107,3.86504567238056,6.8662148849046,7.1805128489037,29.1735382182899,19.6497970598952
"TSPAN7",10.4058070817196,7.326231384997,8.02533073579945,38.6842504791228,9.9401626663754,3.81856708727774,9.53909744930445,40.9605636089217,22.9156675139423,37.318447302245
"RANBP2",7.762899214736,41.9939087950292,27.5915015596189,10.3815719439279,13.7864453316177,13.0334763423601,11.1950439225933,21.9081323596318,110.260989606214,121.426010622035
"TP53",3.55349582142004,9.28323318122043,9.26971268038964,6.83049505768476,7.51400421632009,8.67498016287755,7.83038141467962,4.83591074778981,6.51299134099627,7.60575153096292
"TGM2",5.01035690112337,3.83638657740581,3.61768079075193,5.15944712533644,3.18233925020449,9.0720255738337,6.86832991471362,3.50064540975606,3.61722165927743,2.73710221029972
"SH3BP2",5.39776482360478,2.58875439069878,4.78367520833431,10.0085388080658,3.98598427775679,15.3679778754583,9.59410910498981,11.5251579842121,4.48692244126422,3.95081056752683
"ZP2",6.62110183428227,3.93067486650817,3.92484327217059,4.70676604797562,6.28081870369726,4.23358625169625,4.85922320721874,3.62904668454415,3.28183079130445,2.91840623237985
"SNAP91",46.295849219671,8.9944035837624,54.0618084550898,188.351892191606,26.7945197445833,6.16064315391884,22.3622124264461,416.111975136311,137.398110760679,183.631001856736
"DIP2A",48.8322253031915,38.4604364330925,37.6125369190338,16.5693572900896,43.2219510350568,25.8261677177733,26.3358451978894,14.6611344678873,34.2197715286786,28.1872585641856
"CYP3A4",6.79631269829552,3.64254326932598,5.53213259992094,4.5708563502153,11.7637226891751,9.92510591051838,5.56991836590964,4.86412914931896,5.99813657758431,3.42831458810408
"FGFR4",3.94091430641653,4.84115733528039,9.4573668085207,12.2918238508325,6.52562055730827,18.0786997328305,14.3654915520867,9.80617163577985,3.93320924568099,4.6071581957339
"BCL7A",43.3090870007288,15.869150338469,21.2680376982579,26.3517395738553,27.0880838107631,17.7633446306412,25.5678895503068,19.2082218697165,16.3818608518492,24.1657707557144
"XRCC3",3.78934206042757,2.3021024072391,13.017158623908,12.4930914056882,3.6959812118451,13.0990909460607,11.8743145807534,7.66425166257942,5.5253993784756,5.01349922423848
"UBE4A",45.1416910777487,21.6732041406002,329.442663689098,130.889814414531,78.592523190733,23.5882277789569,41.9091071067897,209.369157686213,564.592198194052,574.62073734671
"RPS6KA5",9.62272103688385,8.55648173456466,3.21653307699748,2.59789924320731,5.87467705987124,2.48436246055193,2.2563424326619,2.84970364497994,6.87001688989921,5.69581336027989
"TRRAP",3.82498703889771,4.09684984690768,6.04494038764782,3.96832334313803,4.45833484840957,3.29498713810385,4.4690726091517,5.74862580982749,5.57279381686051,5.80008613116947
"COX15",8.8643206842766,12.9748786518809,14.8526272251993,16.1727766228968,5.61409176379607,5.82379041904577,6.55098609271872,14.2388781831799,6.57542863771895,14.5716861293065
"TBC1D17",8.51339968741201,5.55176124546956,9.87371382548485,13.2171886938411,8.0195849456562,22.9696401564821,12.5562698485066,19.1426653244336,7.11728669405314,5.32769451641028
"TBCB",21.8722897919864,7.3970152130839,29.0524003863771,27.6536578027931,6.98433356235094,4.47060908209745,10.5530670328829,37.4564080880638,20.9636646231312,31.861330616544
