"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"WWTR1",78.3170401260439,65.3005865327198,138.316168291475,264.96358687635,92.0846808200343,51.0092772551554
"ATG5",17.2715377896571,27.0113305961157,22.7723837124037,33.7026296116119,25.2183845503406,17.592016365109
"GRIN2B",19.8283216251047,37.9375866798337,18.1094134615927,26.8993659411728,35.2756604299775,26.9194441318085
"CASP3",31.4689855924671,24.0314776130931,28.1908070362654,38.761082093223,22.3272442374171,21.4756470187698
"SMAD7",65.1659258412361,49.2390380578046,224.016075648282,75.0624117407792,18.1094134615927,27.8730505493134
"SNRPB2",39.3914402518731,28.8577472291091,58.4733699927905,50.7106148506576,57.1133365077983,38.8506507871852
"SIAH1",13.54022455461,15.1973724675087,15.6826697026715,22.1527851647566,17.3980019407895,24.6682731008616
"IDH1",56.4210438565559,104.531027845455,95.0836909227509,109.799062404216,45.6304437046751,58.2014386429069
"LIN37",92.4542089897248,27.5164032722621,54.2334787398691,65.612450723524,90.9317750893634,26.9289435292238
"CAPRIN1",41.2035754571654,28.991810917496,71.1480797966765,38.1373738285804,21.6538192615623,22.5150504754075
"ASAP2",65.9779491732495,34.1238769441091,88.2221205031459,62.1096209103265,38.7371566765581,69.128796550075
"CDK5RAP2",62.6995793157746,29.9993915528099,44.2412703424239,40.9267358713531,46.6397262921612,88.5294688865352
"ARL4D",53.6209353554328,95.7059716737998,59.5626174036437,64.9829096445928,91.353755705226,69.636090059023
"TM4SF1",17.0001231976825,18.3084618432917,31.3961786733513,18.9227971809882,14.1757212626058,15.0632311542875
"PYCARD",38.7598961441901,26.9900932852628,25.5936336832542,26.8580018652935,28.749331418216,31.6104143582606
"AOX1",18.3387437477795,15.2098756317364,16.6645461702814,16.2358778261171,20.8420241870543,21.8544581226693
"PBRM1",44.798820118515,84.6307302425032,92.3904506100043,86.8288879015301,84.9719478124053,120.232878123345
"LTA",31.4055642765231,58.164852776049,34.3416071375011,34.902756102816,36.5974190420567,37.4961155736098
"ARHGAP1",19.5130117326584,34.8001963403989,18.4725273395331,19.3148839365154,26.9534016612865,43.6626786494496
"SLC27A2",15.8141403363237,14.6273006621796,13.1921272917731,13.529751577823,13.8964781316463,14.7734357791272
"SMURF1",47.7996937863955,25.4982478316962,81.7583847529491,40.2945966197773,32.0726592240587,33.7698545045904
"NFATC4",113.909686519579,126.470015810805,79.0950031602497,104.113773394876,120.908700759546,109.471400761434
"ACVR2A",36.7742769500079,61.3768844279588,46.3860639676786,56.1998958502434,71.8154736380545,50.3143590161504
"PRKCD",22.7431520052669,19.4153055916544,20.9371045467931,17.8871853119255,19.2909784443118,16.3761125335554
"SEZ6L2",74.3825398928962,60.2174218830213,78.5752755594007,38.439270745712,37.7724351491271,52.6172294620288
"PRDM14",38.5105213194886,53.393104457906,38.7625040553916,40.7922981939292,46.7440132838135,45.296420644606
"VPS37C",248.083829595098,113.853016746575,185.28431234993,213.98427441407,282.161085106425,129.364350089117
"RALB",99.8243572768012,68.2173230446115,146.700778947631,104.544424351273,99.3047466524511,78.2224563763575
"COIL",18.1599283634271,19.6566413212877,18.2783269546195,18.4612204821916,27.9774572579695,29.3929888963321
"PLOD3",239.824774183633,119.036188890939,296.656111926338,124.786558228103,115.077256747856,73.5959570449147
"DCTPP1",77.1102866302403,79.2123885777265,83.5079727284311,72.9290159999954,108.671516544386,82.1311410099433
"LMO1",17.3883566217359,17.9700401767304,15.7221655007727,16.6706097672389,26.2301568491925,19.3166106684924
"MAPK11",91.1758815446834,58.5519334955547,61.589196386927,58.0876004034311,73.3075378999143,45.974472917938
"MAP3K3",119.301040380493,54.6912296856027,121.728329029385,76.7267570512584,65.8581736690713,124.98655742573
"GOLGA2",52.0071643760284,131.072982554685,65.631889091362,52.471006814649,53.5287993658688,113.388827116568
"RBBP7",299.607079506071,50.8732789849494,207.974494409759,328.145333185829,146.97982202246,79.0443177467884
"S100A9",30.0361149290634,23.4232300017854,29.9703762387825,19.8684078789164,25.9351668648498,29.382584944836
"DHPS",43.9993530790549,47.0739075169582,42.187913398434,23.5008388389857,24.4883789189948,34.7120870677082
"RAB8A",197.720383590267,67.2298890631981,217.091629628758,102.000331581602,95.6597946418978,116.417511674178
"RPS11",320.418554668097,562.451250877128,32.2412857895143,136.060928726439,266.200449633279,486.000392524175
"ZC2HC1C",36.9609665581126,29.0703644641645,35.8864881826577,35.8984250039985,41.2869180089348,29.6582173948119
"GANAB",285.088605016096,226.703818909957,398.380451433461,260.35078127031,342.464217084489,173.763108111419
"TBP",71.4808596988378,53.1240335646124,40.4839093067374,55.0563738098219,64.9110641241101,37.9474268130706
"EIF1B",362.348191932147,107.658889161044,373.162768183604,502.200030628161,163.869652761464,108.392877309161
