"SrNo","V1","V2"
34580,"P05067","P57060"
34606,"Q5SSJ5","Q99728"
34610,"O00295","Q99728"
34747,"P50222","Q5SSJ5"
34791,"P62877","Q9UKT8"
34827,"P46821","Q13188"
34888,"A0A087X2D5","Q9P015"
34908,"P28749","Q00534"
34915,"P09936","Q00534"
34932,"P13674","Q16637"
34939,"P09936","Q16637"
35118,"P05067","Q96G21"
35152,"A0A024R3Z2","Q96G21"
35196,"O75937","Q15428"
35240,"P05023","P31152"
35290,"P25786","Q7L273"
35355,"P62330","Q14204"
35393,"B3KUN1","Q99460"
35420,"A0A024RDY7","O95379"
35495,"A0A024R0L5","Q99460"
