"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"GANAB",221.899252901572,311.480707908272,278.13278448544,259.539443758976,320.394817143506,242.33517210376,311.19778898566,309.78167619606
"LOC105379876",37.9601555759054,30.3808220085277,25.7620054556916,31.4396663037408,22.3894005946416,34.9646461559545,31.0630804444263,25.5827243063936
"NFIL3",54.0154794206262,23.8137348548762,26.213916299231,32.7934776905632,27.6771982135388,21.0363718662991,38.6376113047474,32.3150204614677
"SYTL1",115.236744575872,96.922250571983,85.9534117117449,99.0533594060696,88.3026604479163,93.7650911120128,102.577321853535,84.9636594293914
"PCDHB1",13.0202838919549,19.2040940305826,10.9340805217301,16.5072169146149,14.5592890159741,11.4934100628812,15.2150165708866,15.6425845838158
"TXNL1",58.1442652073139,71.5121761116634,71.099277777959,59.2635851644255,77.4982592436535,68.7487224873239,56.5039962204474,70.2477445383877
"IRF6",41.3944372353895,43.9526120376218,31.4527008099703,40.9572515232443,39.2068274220552,42.6822995580321,45.3458305787959,34.359068039062
"LOC101927153",8.50647843727928,8.59642613121026,8.2066817069487,7.71692989746311,6.99181009384356,7.82270738095577,7.2315955866069,8.20458294163424
"KBTBD12",32.8523575547206,37.5972438322319,25.7354481438581,31.9459690956385,44.2261575939248,31.9988688037956,29.3424005504327,47.3090078402817
"CACNA1F",61.3780539760142,51.6280785146993,43.6865114482527,53.3850914562497,42.5828321394274,53.2574703791015,48.6015021676203,43.7253794853284
"HOXA1",41.0750093936523,29.2511005319966,23.0176716486815,33.1497710215493,20.6264837911801,27.4643834511741,29.1865544133453,25.3793286237451
"XKRX",240.180297777466,117.823213797061,44.6674193327181,147.680343137645,77.9661505234896,182.609878307183,97.1089929470565,92.1665919522476
"WDR81",114.33782962492,103.952237405037,114.274286427239,98.8226610905957,87.3805329524416,100.412773789154,126.171739927517,96.0551459390329
"LINC01268",14.3143871537372,39.464922199232,12.9590944085763,15.860155381043,16.337949230559,19.1385814998465,14.0524034744107,26.5754460231193
"IL1B",31.7555312382548,26.8046241332998,24.5321368682487,27.1206340058698,23.3415910699786,26.0618754330754,27.2828981699115,23.9464186149327
"LPAR5",172.894719852643,229.875674887767,150.230923789268,194.443068996123,142.833541897269,202.904070871368,175.677424632739,169.262667745653
"ATP1A3",57.1037268335679,133.09005856657,46.4488186704498,79.6365600944068,84.6879616109896,50.9608345964771,53.2659246458446,125.720229444222
"CARNMT1",46.3631922920111,82.1687548592961,63.2761536210487,77.8232863966798,137.662232352472,61.3396487417839,79.949217037943,108.70729891419
"MZT1",51.41683850448,60.6343742856089,54.2200297629336,68.8107946765653,92.7649564234776,53.1507446808791,54.4246756717872,106.333767230272
"LOC101927359",37.7730401985141,58.6828079516966,123.116729244606,52.6295078928522,116.535201353924,75.0573786279297,63.7685866088946,88.2273470864881
"LOC101927825",55.6903710560112,18.8378837967945,43.6518532497091,78.2203995355247,47.2029787891994,50.4921078337098,54.6123752484842,38.8530513237204
"RPS2P52",32.5389546846363,23.9648333090508,28.75033776245,24.7784149915078,23.4205004725737,22.1094157996259,31.833326111077,23.6209486268137
"DMRT3",47.3616684565167,44.0636469423143,32.7046529490862,41.186253712053,28.2951131196584,38.6032123330314,34.5592259600139,36.7207342154319
"ALKBH5",323.508542947614,358.870866937937,349.142942387277,400.09699974784,383.602416924383,316.895200612537,394.905321891284,417.704535973438
"PLA2G2E",106.097657976135,123.046174931183,98.4001766220557,112.812177695554,101.060541144463,113.106419230713,103.614564618494,97.8679109744788
"KRTAP2-1",59.3323491686958,50.3451186702842,31.6600362013821,43.0872166181889,33.5522590447611,46.3817709196837,42.980638207855,43.4132944014334
"LOC100291666",39.4529972214542,35.6154669426944,41.5600936485722,24.1972468056684,30.1838096077176,31.3990281286099,25.5005418941712,41.4298588498823
"TMEM198B",169.207182617732,201.744285660306,232.53112047891,148.435463005997,162.890764641468,213.505585155691,187.020680497139,164.795153002316
"MPEG1",27.3110334191447,52.7008015679298,20.7411358826143,33.0850143457822,28.5546738264867,30.041542799133,31.6783217188291,36.1210768923231
"ENDOV",103.074596258572,83.8601787375417,89.4655280681167,103.344800839385,91.1869837371148,95.0821090860335,94.2329040527022,101.070208483241
"ATP6V0E2",253.778317118137,249.810793126154,223.942260976247,212.392792613817,222.872530162594,213.836749137378,237.847986169475,224.510171819155
"HELLS",9.96252196564022,11.108884111239,10.507423152026,10.5812194670276,10.6843852752731,10.3864303276661,10.6100753733723,11.657406877699
"PCSK6-AS1",6.43726562088542,7.8209832835304,8.85499197801514,7.23583745604447,6.60548274022328,6.40100306761261,7.30014945297143,7.66527738533663
"SMIM24",141.18049749688,119.3732687569,107.633920481713,112.891495745787,88.699741811372,117.785243911264,125.468552372961,107.58372225311
"FAM83C",62.0785519341668,58.8210242105468,44.8673166757716,59.12281267681,44.9779187454969,54.3915261025124,51.5003381530067,49.155229354213
"THSD7B",34.8162278949398,32.996703599061,34.4736941753319,35.6009294085381,31.5419729851053,33.3476455262507,32.4288509356371,32.9395741820561
"CXCL8",13.665259959949,11.1347942887785,10.1733576167443,12.3252841320184,11.4071778016935,12.9757228033193,10.8317992415497,10.2861771485549
"SVBP",45.6244100814029,44.4714641892675,60.0262651175511,38.2369885603015,45.4527601307295,45.8355474589094,47.1187055261156,41.2901856471732
"LOC105377707",15.7322378714938,15.3679838191496,8.08435121922998,17.7789719602014,8.99302824576453,13.4246260813523,20.1253504429771,8.84604143586389
"MIR193A",227.370771885001,200.294222931448,159.343460334424,229.371923912665,178.584987850601,213.112144606967,206.955388169991,192.188872762297
"PXK",157.715101814866,593.139647705941,933.602749742801,416.858805480882,859.873724338324,953.246157310043,381.207845259558,248.469851431997
"TGFBR3L",209.402375740852,172.304670781888,161.447131726431,161.690936349299,130.642455289563,176.563827601201,189.992676637155,149.766692524276
"LOC105379163",5.72269611764,8.65308755238238,6.47755338284557,6.89908004912664,6.24970459729316,8.44934203154491,6.12184280409591,5.23894385159847
"ZC2HC1B",24.2678770135804,24.6750824459289,17.1439898990132,23.4555756015816,15.9102544112048,19.677063070158,23.3242211204891,17.229560548325
"LMX1A",92.2847910694753,77.7149364791471,67.2653675241114,86.3113271388072,62.0426326361566,80.7530026713074,89.4910809813581,68.4819083488232
"NDUFB4",35.0448853654912,49.2754793258456,51.2090184020846,38.7569731997504,61.0814328415054,36.0901941691794,52.9572022171657,58.7914722069385
"SEC23A",89.2184389211924,126.836925312464,106.074862624634,119.102839639834,195.284143344774,94.8792039233183,121.50181038354,188.827751628942
"LOC105371554",21.19156162509,21.6534500028556,25.04049193469,18.1020100729432,22.479873312162,21.9028393653381,24.2311168957586,20.8276765195021
"PMCHL1",7.23702622726362,5.27609301924884,4.66691114637898,5.51485899814402,4.97799230432016,5.40581822161534,5.46106375649949,6.15503047564398
"LOC105371600",63.1527652013625,55.2554169290685,42.8995913514374,56.7679602721547,42.0800058475982,68.1928700452214,37.3309676531357,46.6667793560527
"REPS2",133.352217011295,305.423868254481,325.17285095652,253.804000653545,352.701279686788,270.061280329571,211.830423988778,367.127404682384
"SEMA6C",120.706453434993,104.368026873665,93.882021390085,102.6022102859,101.830152158782,100.447301736383,109.002166521884,113.600942963745
"CREB3L1",69.5480423016191,59.1784908186666,54.1268302880973,55.4404475981493,40.1287413179421,62.2906620097821,54.4562223346669,54.3773522484166
"KLK11",84.2120628499634,63.6970211508384,58.5632210210459,60.9839206951141,48.5905211222297,57.8224566711072,69.0536132129015,53.7143627985327
"HERC6",45.3845076054868,67.0431950738041,55.7033813226708,51.8610675866172,71.4197906548129,53.7133203137934,56.9888588815329,69.4624311457322
"LINC00347",9.45533779603206,7.17046162127889,6.71139188495865,7.72772095522998,7.07091050724172,7.83643237243798,6.17875855972601,10.0520162258337
